account_id,instrument_code,amount,timestamp,vintage_year,registry
ACC-001,CARBON_CREDIT,100.00,2025-01-01T00:00:00Z,2024,VERRA
ACC-001,CARBON_CREDIT,50.00,2025-01-02T00:00:00Z,2024,VERRA
ACC-002,CARBON_CREDIT,200.00,2025-01-01T00:00:00Z,2024,VERRA
ACC-002,CARBON_CREDIT,150.00,2025-01-02T00:00:00Z,2024,VERRA
ACC-003,CARBON_CREDIT,300.00,2025-01-01T00:00:00Z,2024,VERRA
ACC-003,CARBON_CREDIT,125.00,2025-01-02T00:00:00Z,2024,VERRA
ACC-004,CARBON_CREDIT,75.00,2025-01-01T00:00:00Z,2024,VERRA
ACC-004,CARBON_CREDIT,175.00,2025-01-02T00:00:00Z,2024,VERRA
ACC-005,CARBON_CREDIT,500.00,2025-01-01T00:00:00Z,2024,VERRA
ACC-005,CARBON_CREDIT,250.00,2025-01-02T00:00:00Z,2024,VERRA
